"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"007007","Ayas","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1369,,
"007008","Aymavilles","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2096,,
"001014","Azeglio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1242,,
"019004","Azzanello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",620,,
"005006","Azzano d'Asti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",387,,
"093005","Azzano Decimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",15767,,
"017008","Azzano Mella","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3498,,
"016016","Azzano San Paolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7600,,
"012006","Azzate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4616,,
"012007","Azzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",771,,
"016017","Azzone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",357,,
"103006","Baceno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",872,,
"063006","Bacoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",25195,,
